path,module,kind,lines,bytes,role_hint,upstream,downstream,reviewed_role,reviewed_interface,status,index_blob
gem5/src/arch/power/tlb.hh,gem5,source,167,4913,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,fe7b34a53db80bc70cdec6461d83e1be16cc4928
gem5/src/arch/power/types.hh,gem5,source,123,3502,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,a4f0778859b34c2710e31085a9b27599d7c95fa8
gem5/src/arch/riscv/Kconfig,gem5,text/data,27,1541,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,7f09731e5e081f12489dfc05f253bd6aa3480f82
gem5/src/arch/riscv/PMAChecker.py,gem5,source,59,2710,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,19b80b8fc2834f3add60ef694de84f318ca5cca9
gem5/src/arch/riscv/PMP.py,gem5,source,37,1814,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,3fdb902dffca91bbe2f4f77d825ea40ad2779efc
gem5/src/arch/riscv/RiscvCPU.py,gem5,source,61,2483,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,2b1b053b4879d1310be5a8c5a3891fa9cb212141
gem5/src/arch/riscv/RiscvDecoder.py,gem5,source,33,1707,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,4100a3c5b3197a854bddedffb8300fb724f125b3
gem5/src/arch/riscv/RiscvFsWorkload.py,gem5,source,146,5675,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,2d7af6c07bf6e9bad4cd0e83a5b81bc40dfb814f
gem5/src/arch/riscv/RiscvISA.py,gem5,source,175,6857,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,b9208f2592d1283f76bade95bc80bbf87da3b3db
gem5/src/arch/riscv/RiscvInterrupts.py,gem5,source,67,2758,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,0f2fce496f89aae2343f9ae14ef53dba9f35599b
gem5/src/arch/riscv/RiscvMMU.py,gem5,source,61,2840,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,6abe62b0417298dc0bc7fdb681bcace3226955dc
gem5/src/arch/riscv/RiscvSeWorkload.py,gem5,source,47,2088,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,45aa79ed5b1dd646318a01a428d278331f6ae3d3
gem5/src/arch/riscv/RiscvSemihosting.py,gem5,source,46,2425,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,cfcbf43fe9d0f6bf128f9f4c097dacf9479990cb
gem5/src/arch/riscv/RiscvSystem.py,gem5,source,43,2283,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,ce0308b937fbc6064e94aab2adfd19f6dbb94587
gem5/src/arch/riscv/RiscvTLB.py,gem5,source,63,2760,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,ea9cbdeba6202a442a63d8575777b2b80014b222
gem5/src/arch/riscv/SConscript,gem5,build,130,4590,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,d135acfaae088a0ba9f9d431379f7ae8d405aee9
gem5/src/arch/riscv/bare_metal/fs_workload.cc,gem5,source,80,2671,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,e68bbd1f3087b2ddb343e656f5c6f1060ba13819
gem5/src/arch/riscv/bare_metal/fs_workload.hh,gem5,source,97,3201,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,5b5725b85d61c2aacfa3c0e1bda48ff0764acd2c
gem5/src/arch/riscv/decoder.cc,gem5,source,176,5387,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,031f036beefc4ddfd50b4391baf94d2f47eebad3
gem5/src/arch/riscv/decoder.hh,gem5,source,96,3190,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,db7a199955de7b1ae3f38d1ad5593b05d6674fa2
gem5/src/arch/riscv/fault_codes.hh,gem5,source,194,5870,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,a35854e284df25c599e523f08bf26cfcd4f7daf0
gem5/src/arch/riscv/faults.cc,gem5,source,356,12708,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,755571062834f651f62336a54755367203feca04
gem5/src/arch/riscv/faults.hh,gem5,source,303,8849,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,0448f207f86fd80da407ca82f732fd7422a5c4d7
gem5/src/arch/riscv/fp_inst.hh,gem5,source,43,2312,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,604c0169f0c17247aa299eb8b2ceff3bd9c0039f
gem5/src/arch/riscv/gdb-xml/SConscript,gem5,build,88,3073,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,fde115d4216aefee167d9252c9427b7fdedf7f20
gem5/src/arch/riscv/gdb-xml/riscv-32bit-cpu.xml,gem5,config,48,2045,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,c48f770ded9e7ec86a04e3102e4e26d19d97b70a
gem5/src/arch/riscv/gdb-xml/riscv-32bit-csr.xml,gem5,config,240,9646,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,f72bd31337d211ddbb9c6581c31f80fc2449c5cb
gem5/src/arch/riscv/gdb-xml/riscv-32bit-fpu.xml,gem5,config,58,2662,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,9661b0e00470e284f82cb0f7574997b85ace31d0
gem5/src/arch/riscv/gdb-xml/riscv-32bit.xml,gem5,config,13,544,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,982e6b0674104dfe569f42a65432a25c17a2b86a
gem5/src/arch/riscv/gdb-xml/riscv-64bit-cpu.xml,gem5,config,48,2045,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,7de083d25c441dc397f8233b2b381612f5cdb3b5
gem5/src/arch/riscv/gdb-xml/riscv-64bit-csr.xml,gem5,config,239,9608,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,af280397c764c992781d2d36e016525ed5b05393
gem5/src/arch/riscv/gdb-xml/riscv-64bit-fpu.xml,gem5,config,58,2662,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,9661b0e00470e284f82cb0f7574997b85ace31d0
gem5/src/arch/riscv/gdb-xml/riscv-64bit.xml,gem5,config,13,544,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,e39ae98e827ab25aea5a5daad97bafcd8e76e894
gem5/src/arch/riscv/idle_event.cc,gem5,source,44,1832,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,f361f449a669578648d61344f77c80b90118c55d
gem5/src/arch/riscv/idle_event.hh,gem5,source,48,1977,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,c0e5e9a49b2ef0caefb5fbb1cba46bbe586e61f3
gem5/src/arch/riscv/insts/SConscript,gem5,build,41,1993,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,9694cc1405ef05a4f9bf30baf70c3d8fcd026ab1
gem5/src/arch/riscv/insts/amo.cc,gem5,source,150,4649,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,052586ecfca9fc4de28a581df156f6ae2bca05f9
gem5/src/arch/riscv/insts/amo.hh,gem5,source,140,4161,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,0d64b076dc86d4057bb25f43cee49bbdd717e38b
gem5/src/arch/riscv/insts/bs.cc,gem5,source,53,2054,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,7a9e6e7f3a733c2af6d9b1c51e88c7f4bccb5b20
gem5/src/arch/riscv/insts/bs.hh,gem5,source,56,2098,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,d4db5c9dc13e873c34b867b7e2b64be45630b0b0
gem5/src/arch/riscv/insts/compressed.cc,gem5,source,55,2092,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,eb04f1f556539607c401995b473e35ed5e8c84c6
gem5/src/arch/riscv/insts/compressed.hh,gem5,source,59,2201,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,aabe6df5223e7f6f58ce10983ddcf4e9ff85111e
gem5/src/arch/riscv/insts/mem.cc,gem5,source,69,2557,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,8ebda7406d762fa9b8f358eb65706fa4ff4a4df0
gem5/src/arch/riscv/insts/mem.hh,gem5,source,77,2543,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,8e95c6b4e7101d3f6ed6ee81297673bfaf1ee804
gem5/src/arch/riscv/insts/pseudo.hh,gem5,source,57,2071,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,5be53e367f31ec2fbb7fc50ec9a64b63b47153a3
gem5/src/arch/riscv/insts/standard.cc,gem5,source,112,4004,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,ab43e7cb127b5fdb772e6cd4344fdd07b3f5fbc5
gem5/src/arch/riscv/insts/standard.hh,gem5,source,114,3460,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,4f1a538c73a9ab80b7c56e6b685660147a0f526c
gem5/src/arch/riscv/insts/static_inst.cc,gem5,source,67,2276,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,db814dacc5d130e20455aff46a8b0bd4eaee109a
gem5/src/arch/riscv/insts/static_inst.hh,gem5,source,180,5150,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,10f0589fa3ecd48779a6798a856e8adf4f5d9163
gem5/src/arch/riscv/insts/unknown.hh,gem5,source,78,2709,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,ca90c453f57bcf2de0a38227312edce4a50fa685
gem5/src/arch/riscv/insts/vector.cc,gem5,source,961,29922,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,a5c5383ade08a8e498ded920df216174b7d94ec5
gem5/src/arch/riscv/insts/vector.hh,gem5,source,828,26509,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,c7f89c609161732b0791068ac74fb4d365c17dda
gem5/src/arch/riscv/insts/zcmp.cc,gem5,source,130,3807,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,018ea45a60e11028b753d58a005acb92404f420f
gem5/src/arch/riscv/insts/zcmp.hh,gem5,source,60,2119,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,5f0d734b10c53a16d387dd1281a8e6f13bc9e9ca
gem5/src/arch/riscv/insts/zcmt.cc,gem5,source,93,3214,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,d5c9257e5647513d01a5f5d65faf4a9c0012f13e
gem5/src/arch/riscv/insts/zcmt.hh,gem5,source,68,2393,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,6abe0e49b23de30f4539b56c2f8bdeeffda934d5
gem5/src/arch/riscv/interrupts.cc,gem5,source,230,7931,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,de4be37230cbe069cdd41b117f28a7edf25e2bea
gem5/src/arch/riscv/interrupts.hh,gem5,source,139,4342,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,bb64e9015c2a9839d4d01417179893cefab58c5b
gem5/src/arch/riscv/isa.cc,gem5,source,1443,49480,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,6b4eef005af262b5b779aceb536a437144acb04e
gem5/src/arch/riscv/isa.hh,gem5,source,253,7644,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,39eb83982ed7eeb66c83ab4e5c22fbafa09d3286
gem5/src/arch/riscv/isa/bitfields.isa,gem5,source,169,4911,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,c999abe9c1295b65e3deb24b6ddb3bf4fba39bcb
gem5/src/arch/riscv/isa/decoder.isa,gem5,source,6493,312213,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,569da4b942f420a3f2bf0ed445c1ea157c62fb94
gem5/src/arch/riscv/isa/formats/amo.isa,gem5,source,526,15368,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,2d23cf2786f847a3e9db58042c5501acebb99111
gem5/src/arch/riscv/isa/formats/basic.isa,gem5,source,85,3085,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,6bae0a6f8617b4bf4569b3ee1a706e36a6f58286
gem5/src/arch/riscv/isa/formats/bs.isa,gem5,source,48,2177,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,d413502dba2efcde528a032e18ca466ee27799f6
gem5/src/arch/riscv/isa/formats/compressed.isa,gem5,source,209,7691,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,94a770d8357c02db93736b05ea62e2785dad0fd5
gem5/src/arch/riscv/isa/formats/formats.isa,gem5,source,53,2140,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,44d3354d870f6ad255c284c3f6e7d08b3f789ce3
gem5/src/arch/riscv/isa/formats/fp.isa,gem5,source,64,2603,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,94041c228b6f7938311e2cdc60e3d2b218e98406
gem5/src/arch/riscv/isa/formats/m5ops.isa,gem5,source,55,2863,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,ce2092cac31a6fdad912a5a1baa1d18b453869ea
gem5/src/arch/riscv/isa/formats/mem.isa,gem5,source,587,16515,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,4f96a88c330f710c5c8c19a79f3b582ca3314dd4
gem5/src/arch/riscv/isa/formats/standard.isa,gem5,source,556,18560,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,aeddd9d434a960da96ac4ac9608c94b4b3bd6c55
gem5/src/arch/riscv/isa/formats/unknown.isa,gem5,source,36,1799,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,8ff959edb4477f89531f48889b656e28eef9a765
gem5/src/arch/riscv/isa/formats/vector_arith.isa,gem5,source,1711,60757,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,3704720beacb5377f9993266d81bba9bd8c19356
gem5/src/arch/riscv/isa/formats/vector_conf.isa,gem5,source,211,6781,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,b9cc5b59e953b8005ed563de1aa882caed321b0e
gem5/src/arch/riscv/isa/formats/vector_mem.isa,gem5,source,286,9830,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,c54e246badeff216516d4f9ab4edd38dc478a210
gem5/src/arch/riscv/isa/formats/zcmp.isa,gem5,source,782,23586,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,af8fb9c9fcf29dc20a6e1512acb99cab0e665b8c
gem5/src/arch/riscv/isa/formats/zcmt.isa,gem5,source,119,4136,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,3836a3eef2e8f127e880291edcacdce561da67b5
gem5/src/arch/riscv/isa/includes.isa,gem5,source,128,3978,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,b4be0e4ac6b653faac5536a5e4d0e3df17b2c00f
gem5/src/arch/riscv/isa/main.isa,gem5,source,60,2426,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,2923a965daba25dfe032ac2cef13138d00cc6df7
gem5/src/arch/riscv/isa/operands.isa,gem5,source,119,4929,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,8700668b14d62ada42376c0391346465a5361ded
gem5/src/arch/riscv/isa/templates/templates.isa,gem5,source,32,1629,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,ed3f5287c068aac6c48c4364475fafda1d128b37
gem5/src/arch/riscv/isa/templates/vector_arith.isa,gem5,source,2692,81083,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,dabbe7034b83208c135f6e11ef1d549a09c61b6a
gem5/src/arch/riscv/isa/templates/vector_mem.isa,gem5,source,2212,67308,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,3fc131f98284de3de974e7cf3ddf9b72ffc76e7f
gem5/src/arch/riscv/linux/fs_workload.cc,gem5,source,296,9203,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,b3f465716e3772d4a4e3e0a43a6d5c680acaae64
gem5/src/arch/riscv/linux/fs_workload.hh,gem5,source,173,5293,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,c57b61b129f626364fcc455de956b5bf28d94532
gem5/src/arch/riscv/linux/linux.hh,gem5,source,498,16603,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,17281340d7a52e7c5158b96bac57427bf2a40fb7
gem5/src/arch/riscv/linux/se_workload.cc,gem5,source,1236,38211,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,6fbe63e9085257aa0a3650bab6cc6f5eb91a17b3
gem5/src/arch/riscv/linux/se_workload.hh,gem5,source,68,2570,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,4ec818b2ab6ac5e0f612d9cd1d276cb0986c0807
gem5/src/arch/riscv/memflags.hh,gem5,source,71,2775,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,a7f7bc5e4f4d61ad6199895368dfda6462441220
gem5/src/arch/riscv/mmu.hh,gem5,source,137,4270,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,60672c1fda4ec9b1570f1a9c636426730b20b5e8
gem5/src/arch/riscv/page_size.hh,gem5,source,60,2545,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,b6659cd9adf1ee62bd10d05ff9fe8a27d0803be3
gem5/src/arch/riscv/pagetable.cc,gem5,source,81,2635,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,78151ebffa72cb5e5ecb565cb1b2888169952a3b
gem5/src/arch/riscv/pagetable.hh,gem5,source,137,3840,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,f992e93460174379df6d416da5c1f4a5417b0b3f
gem5/src/arch/riscv/pagetable_walker.cc,gem5,source,1267,39585,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,e2983f8de2b345122b1dfb907e4168eafd8bcc28
gem5/src/arch/riscv/pagetable_walker.hh,gem5,source,267,9124,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,10fa4b5bf1ad198229ce8b60da1d8618dd2168f1
gem5/src/arch/riscv/pcstate.hh,gem5,source,175,6004,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,133d243c65146e68a8932f0eb3488c90c9aae900
gem5/src/arch/riscv/pma_checker.cc,gem5,source,189,5854,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,6cfb077b8e24c05b8dd857bac596e2772c6200b3
gem5/src/arch/riscv/pma_checker.hh,gem5,source,143,4767,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,72bb1d3851cbdf6bfd5bfa0ea7776de23974b7cf
gem5/src/arch/riscv/pmp.cc,gem5,source,323,10259,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,d7f03433831cd941131d4e8d6cd2b24e2b04b5c6
gem5/src/arch/riscv/pmp.hh,gem5,source,229,7479,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,73ebb144d9ab144150c14e988e9d642a788b5c04
gem5/src/arch/riscv/pra_constants.hh,gem5,source,332,8715,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,528525615d69f5d764062c04d1c8c83ec629e666
gem5/src/arch/riscv/process.cc,gem5,source,263,10050,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,29160e5b5a2b8a3d8dacccdf435a89708db3f069
gem5/src/arch/riscv/process.hh,gem5,source,85,2678,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,1372f8e153a78c33173cb3cedf190f36516558fb
gem5/src/arch/riscv/reg_abi.cc,gem5,source,49,1983,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,3d48056b14bb40fa8831937a2a9614671e6352d0
gem5/src/arch/riscv/reg_abi.hh,gem5,source,100,3203,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,383e9df26621c122a48b7d73bef8caaf0f54bc94
gem5/src/arch/riscv/regs/float.hh,gem5,source,242,7072,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,4807bb1cdff6e65a580dc5139cedabbc3554208d
gem5/src/arch/riscv/regs/int.hh,gem5,source,167,5391,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,dc7e37cdbe7a6455dc309dde66d525cacbb2dc6d
gem5/src/arch/riscv/regs/misc.hh,gem5,source,1974,68625,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,5022a3216d98157f0ee92c7f69a7c28ceb2f70d8
gem5/src/arch/riscv/regs/vector.hh,gem5,source,88,3140,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,a39410d61c589ba4704076f66999da1af901145a
gem5/src/arch/riscv/remote_gdb.cc,gem5,source,623,25187,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,b3a08db91b784e5755aff20384979badce5617b0
gem5/src/arch/riscv/remote_gdb.hh,gem5,source,246,7950,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,f5485644a95c4011f6eaee320c5769141c14ec5d
gem5/src/arch/riscv/rvk.hh,gem5,source,643,21988,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,678359c9e4d14a286c282e31b11f91f025ca2489
gem5/src/arch/riscv/se_workload.hh,gem5,source,107,3385,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,dd18a92905302da3d97f65d27f35b4e784079324
gem5/src/arch/riscv/semihosting.cc,gem5,source,193,7868,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,05b80e5742fe61583733ef36423caaa14e7b25ce
gem5/src/arch/riscv/semihosting.hh,gem5,source,201,6442,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,d427936f9fa2cc83fa543f40e066815d79ba5571
gem5/src/arch/riscv/stacktrace.hh,gem5,source,56,2125,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,d59085bf0dafca4fab05cef2b476a603aa5f962b
gem5/src/arch/riscv/system.cc,gem5,source,52,2365,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,a370abb2310295bb4cd5bf4c9b4def78484be6dc
gem5/src/arch/riscv/system.hh,gem5,source,85,2921,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,a00f56e50ef84f7981863d511ebf053081bea1b8
gem5/src/arch/riscv/tlb.cc,gem5,source,756,24092,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,7664395e27c57e5d37a1ac611ae8d3382089dc14
gem5/src/arch/riscv/tlb.hh,gem5,source,223,7693,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,a7e70d6aa9bc0b75c04555e0c182920c588eace1
gem5/src/arch/riscv/types.hh,gem5,source,195,6565,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,a24864e3ee44ce2d36a64b5738cdc259ce68e653
gem5/src/arch/riscv/utility.hh,gem5,source,852,24794,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,ed573fae4dd0fef89cc5ad1a1e63c40e3e5ba624
gem5/src/arch/sparc/Kconfig,gem5,text/data,27,1540,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,ec2aef73265da0badd18c292734318fdda3c171f
gem5/src/arch/sparc/SConscript,gem5,build,104,3386,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,03bd005a3e0e9cc875d605bfdc2dc6e9e0d92e66
gem5/src/arch/sparc/SparcCPU.py,gem5,source,61,2483,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,fdc17729e277c6401c65e0143c03b408a37b8edd
gem5/src/arch/sparc/SparcDecoder.py,gem5,source,32,1683,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,794d4df476368a49c9c928aca684a72f4330e9ed
gem5/src/arch/sparc/SparcFsWorkload.py,gem5,source,34,1767,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,89b17a82f9456f935f9a60192be445bc344f94b5
gem5/src/arch/sparc/SparcISA.py,gem5,source,42,2233,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,a2746b14619bd2e1a4c61aee34577a5e3b463c5d
gem5/src/arch/sparc/SparcInterrupts.py,gem5,source,33,1760,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,d4fa437ca576fad2a19c26f2b4d32702c2d330d4
gem5/src/arch/sparc/SparcMMU.py,gem5,source,49,2439,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,a00be606856bd074948994681c5eee8c788d192f
gem5/src/arch/sparc/SparcNativeTrace.py,gem5,source,35,1815,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,9b215e19c631698bbc420c0795679d5d15906e4b
gem5/src/arch/sparc/SparcSeWorkload.py,gem5,source,47,2088,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,060bf21005b4a7fcd6877fc87c1d9c681902cba2
gem5/src/arch/sparc/SparcTLB.py,gem5,source,36,1812,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,6b43d69cfced119eb6e9aa4e66b2ae6eb4f03d7e
gem5/src/arch/sparc/asi.cc,gem5,source,319,8128,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,ffdb8e48dde979a30f75c6074fbfaee038e04546
gem5/src/arch/sparc/asi.hh,gem5,source,280,9444,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,4ebc163d0583e884ded9ad1de1015527935ab67a
gem5/src/arch/sparc/decoder.cc,gem5,source,40,1738,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,4025041753e3dbef61c9d1f17a0c1e9ad70c0e08
gem5/src/arch/sparc/decoder.hh,gem5,source,117,3940,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,13384cdc45e459ecf794ccd4c6282e41506fef89
gem5/src/arch/sparc/faults.cc,gem5,source,831,27844,gem5：ISA解码、执行上下文、MMU及体系结构支持,,,False,False,main-indexed,f2f4905ad3aed29b8cbe0a8c5a3e65104fad4386
